topic_id,world,realm,mission,level,code,module_description,Content Domain Reference
1,Number,Place Value,Counting,1,N-PV-C-1a,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",1N1a
2,Number,Place Value,Counting,2,N-PV-C-2b,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",2N1
3,Number,Place Value,Counting,3,N-PV-C-3b,"count from 0 in multiples of 4, 8, 50 and 100",3N1b
4,Number,Place Value,Counting,4,N-PV-C-4a,count backwards through zero to include negative numbers,4N5
5,Number,Place Value,Counting,5,N-PV-C-5a,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through zero",5N5
6,Number,Place Value,Counting,6,N-PV-C-6a,"use negative numbers in context, and calculate intervals across zero",6N5
7,Number,Place Value,Comparing Numbers,1,N-PV-CN-1a,"use the language of: equal to, more than, less than (fewer), most, least",1N4
8,Number,Place Value,Comparing Numbers,2,N-PV-CN-2a,"compare and order numbers from 0 up to 100; use <, > and = signs",2N2b
9,Number,Place Value,Comparing Numbers,3,N-PV-CN-3a,compare and order numbers up to 1000,3N2a
10,Number,Place Value,Comparing Numbers,4,N-PV-CN-4a,order and compare numbers beyond 1000,4N2a
11,Number,Place Value,Comparing Numbers,5,N-PV-CN-5a,"read, write, order and compare numbers to at least 1 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",5N2
12,Number,Place Value,Comparing Numbers,6,N-PV-CN-6a,"read, write, order and compare numbers up to 10 000 000 and determine the value of each digit (appears also in Reading and Writing Numbers)",6N2
13,Number,Place Value,"Identifying, Representing and Estimating Numbers",1,N-PV-IRE-1a,"Identify and represent numbers to 20 using objects and pictorial representations, and reason about their location on a number line.",1N4
14,Number,Place Value,"Identifying, Representing and Estimating Numbers",2,N-PV-IRE-2a,"Identify, represent, and estimate two-digit numbers using different representations, and reason about their location on a 0-100 number line.",2N4
15,Number,Place Value,"Identifying, Representing and Estimating Numbers",3,N-PV-IRE-3a,"Identify, represent, and estimate three-digit numbers using different representations, and reason about their location on a 0-1000 number line.",3N4
16,Number,Place Value,"Identifying, Representing and Estimating Numbers",4,N-PV-IRE-4a,"Identify, represent, and estimate four-digit numbers using different representations, and reason about their location in the linear number system.",4N4a
19,Number,Place Value,Reading and Writing Numbers,1,N-PV-RWN-1a,read and write numbers from 1 to 20 in numerals and words.,1N2c
20,Number,Place Value,Reading and Writing Numbers,2,N-PV-RWN-2a,read and write numbers to at least 100 in numerals and in words,2N2a
